gauge,name,a,p,e,x,z0,z1,z1_err,u1,u1_err,lmax_cut,z1_lmax
ORG,circ-0,0.999,1.1817646130335848,0.0,1.0,0.07263007721385312,-0.18717807326017333,0.00018056786284066225,35.48313313741903,0.03423004311305573,29,-1.9977526023514197e-10
ORG,circ-1,0.999,1.2317646130335849,0.0,1.0,0.09314083252789453,-0.16614332046264618,0.00015524377972173044,19.151493826345888,0.017895093709697295,29,-1.48378380744565e-10
ORG,circ-10,0.999,1.6817646130335848,0.0,1.0,0.24943415644769096,-0.020722184959511395,6.71217365863467e-05,0.3330609361928644,0.0010788258318328702,29,-1.2474156692553769e-11
ORG,circ-11,0.999,1.7317646130335849,0.0,1.0,0.2641762987528192,-0.010260652238246399,6.289328292763798e-05,0.1470236722483248,0.0009011904117856095,29,-9.805520199527517e-12
ORG,circ-12,0.999,1.781764613033585,0.0,1.0,0.2784549912743895,-0.0006000476735614,5.867509717430502e-05,0.007738837765340649,0.0007567349694108604,29,-7.763481563931752e-12
ORG,circ-13,0.999,1.831764613033585,0.0,1.0,0.29228571234107104,0.008333495522138794,5.4510328949214105e-05,-0.09754657683121432,0.000638063100509664,29,-6.189469772504249e-12
ORG,circ-14,0.999,1.8817646130335848,0.0,1.0,0.3056837764008231,0.01660551373790927,5.044897817480594e-05,-0.1777082279812637,0.000539892872717528,29,-4.9674983713588086e-12
ORG,circ-15,0.999,1.9317646130335848,0.0,1.0,0.3186642771611248,0.024274138867067765,4.653615086569541e-05,-0.23904357216614774,0.0004582723942842122,29,-4.012203964908184e-12
ORG,circ-16,0.999,1.9817646130335849,0.0,1.0,0.3312420343521358,0.0313909848135068,4.280730333061662e-05,-0.286097494405551,0.0003901458427605046,29,-3.260345873057933e-12
ORG,circ-17,0.999,2.0317646130335847,0.0,1.0,0.3434315476273022,0.038001961508039625,3.928721805986022e-05,-0.32220007695799496,0.00033309713972723534,29,-2.664754092239227e-12
ORG,circ-18,0.999,2.081764613033585,0.0,1.0,0.355246958769964,0.04414800426981815,3.599079698100878e-05,-0.34982459381872844,0.0002851876578190241,29,-2.190004723970408e-12
ORG,circ-19,0.999,2.1317646130335848,0.0,1.0,0.36670202217333675,0.049865717139982606,3.29246053788092e-05,-0.3708305108628089,0.0002448465385207626,29,-1.809314399259825e-12
ORG,circ-2,0.999,1.281764613033585,0.0,1.0,0.11286645475687851,-0.14473683803503481,0.00013277578140190752,11.361856853426216,0.010422912662532528,29,-1.105876500776047e-10
ORG,circ-3,0.999,1.331764613033585,0.0,1.0,0.13192288547935307,-0.12444232789617371,0.00011482544259455695,7.150358933190751,0.00659778021750441,29,-8.254017276458589e-11
ORG,circ-4,0.999,1.3817646130335848,0.0,1.0,0.1503641859724241,-0.10561773328082497,0.00010158880070596647,4.671410447028414,0.004493213120349145,29,-6.180422330955332e-11
ORG,circ-5,0.999,1.4317646130335848,0.0,1.0,0.16822176345573947,-0.08829235014026227,9.221139679378727e-05,3.1200295999413608,0.003258518852329867,29,-4.6511105313055654e-11
ORG,circ-6,0.999,1.4817646130335849,0.0,1.0,0.18551783077617567,-0.07238795682431808,8.545093439040613e-05,2.103269885190893,0.0024828215196203273,29,-3.5224183195747025e-11
ORG,circ-7,0.999,1.531764613033585,0.0,1.0,0.20227070983687098,-0.05779300815166012,8.018589707944661e-05,1.412567803388226,0.0019598913453854295,29,-2.6866434524077596e-11
ORG,circ-8,0.999,1.581764613033585,0.0,1.0,0.21849708347841434,-0.04439030793077471,7.563405759574436e-05,0.9298156871846819,0.0015842587383629694,29,-2.0646023862618134e-11
ORG,circ-9,0.999,1.6317646130335848,0.0,1.0,0.23421297461498544,-0.03206773407794602,7.134807482138275e-05,0.5845832586331035,0.0013006497426635117,29,-1.5987362407374532e-11
